order_id,customer_id,order_date,shipping_method,status,region
106,1985,2024-08-12,Standard,Delivered,West
107,1875,2024-07-22,Second Day,Delivered,Midwest
108,4501,2025-10-16,Standard,Cancelled,West
109,945,2025-09-06,Standard,Delivered,Midwest
110,3414,2024-01-28,Standard,Delivered,East
111,1900,2025-02-02,Second Day,Delivered,West
112,2454,2025-06-02,Standard,Delivered,East
113,4923,2025-02-03,Standard,Delivered,West
114,2056,2025-05-03,Second Day,Delivered,West
115,667,2025-07-15,Standard,Delivered,Midwest
116,3112,2024-11-25,Standard,Delivered,West
117,3244,2024-06-09,Standard,Delivered,West
118,1199,2025-12-19,Standard,Delivered,East
119,92,2024-02-26,Standard,Delivered,Midwest
120,223,2025-12-17,Standard,Delivered,Midwest
121,643,2024-12-25,Second Day,Shipped,West
122,1643,2025-12-08,Second Day,Delivered,East
123,1778,2025-09-26,Second Day,Delivered,West
124,1053,2025-07-01,Standard,Delivered,East
125,21,2025-03-12,Standard,Delivered,West
126,2680,2024-10-24,Standard,Delivered,West
127,3621,2025-05-07,Second Day,Delivered,Midwest
128,2666,2025-06-25,Second Day,Delivered,East
129,2482,2025-08-16,Second Day,Delivered,South
130,939,2024-03-29,Same Day,Shipped,West
131,4537,2025-08-24,Second Day,Delivered,West
132,2854,2025-12-13,Standard,Delivered,East
133,2665,2025-06-06,Standard,Delivered,West
134,2432,2025-10-20,Standard,Delivered,East
135,3334,2025-02-15,Standard,Delivered,South
136,1727,2024-03-16,Standard,Delivered,West
137,890,2025-11-14,Standard,Delivered,South
138,3616,2025-02-16,Second Day,Delivered,West
139,4785,2024-12-29,Same Day,Shipped,South
140,734,2024-12-10,Standard,Delivered,West
141,2171,2024-09-25,Standard,Delivered,East
142,2342,2025-01-12,Standard,Delivered,East
143,2560,2024-06-26,Standard,Shipped,East
144,992,2024-11-14,Second Day,Delivered,West
145,2887,2024-07-14,Standard,Delivered,South
146,2966,2024-05-24,Standard,Delivered,East
147,4183,2024-10-07,Standard,Delivered,South
148,1736,2025-05-15,Second Day,Shipped,South
149,3153,2025-07-04,Standard,Delivered,West
150,4712,2024-10-23,Standard,Delivered,West
151,1691,2024-04-19,Second Day,Cancelled,West
152,3300,2024-10-13,Same Day,Delivered,West
153,4891,2024-08-15,Standard,Delivered,West
154,1975,2025-07-30,Standard,Delivered,East
155,2602,2025-08-16,Same Day,Shipped,South
156,3443,2024-07-06,Standard,Delivered,Midwest
157,3362,2025-10-30,Second Day,Delivered,West
158,3492,2025-10-18,Second Day,Delivered,South
159,2369,2024-02-03,Second Day,Delivered,East
160,145,2025-02-08,Standard,Delivered,West
161,2899,2024-07-07,Standard,Delivered,Midwest
162,932,2024-10-24,Standard,Delivered,West
163,3205,2024-06-30,Standard,Cancelled,Midwest
164,3678,2025-09-30,Standard,Delivered,South
165,2705,2024-06-27,Standard,Delivered,West
166,4512,2025-12-01,Standard,Delivered,East
167,4703,2024-06-26,Standard,Delivered,West
168,1984,2025-05-04,Standard,Delivered,East
169,4458,2024-09-06,Second Day,Delivered,West
170,257,2025-09-23,Standard,Delivered,Midwest
171,1860,2025-01-06,Standard,Delivered,East
172,3071,2025-11-20,Standard,Delivered,West
173,1638,2024-08-01,Standard,Delivered,South
174,3165,2025-02-12,Second Day,Delivered,East
175,4769,2024-10-29,Second Day,Delivered,South
176,4692,2025-01-05,Second Day,Delivered,West
177,3384,2025-03-27,Second Day,Delivered,East
178,231,2024-06-02,Second Day,Cancelled,West
179,3252,2025-02-28,Standard,Delivered,East
180,3652,2025-03-26,Standard,Delivered,Midwest
181,2762,2024-07-15,Standard,Delivered,West
182,4282,2025-10-01,Second Day,Shipped,Midwest
183,2043,2024-04-11,Same Day,Shipped,East
184,547,2024-09-21,Standard,Delivered,West
185,2985,2024-11-08,Standard,Delivered,South
186,2601,2025-10-28,Standard,Delivered,Midwest
187,1816,2024-04-02,Standard,Returned,East
188,2003,2024-11-21,Same Day,Delivered,East
189,2599,2024-10-24,Standard,Delivered,East
190,2598,2024-10-25,Standard,Cancelled,South
191,2408,2024-05-09,Standard,Shipped,Midwest
192,3280,2024-02-26,Standard,Shipped,Midwest
193,1914,2024-04-10,Same Day,Shipped,West
194,3524,2024-02-04,Second Day,Delivered,East
195,113,2024-10-07,Standard,Delivered,East
196,4002,2024-11-09,Standard,Delivered,Midwest
197,3963,2024-11-08,Second Day,Delivered,East
198,4626,2024-01-22,Standard,Delivered,West
199,1255,2025-05-29,Second Day,Delivered,Midwest
200,3250,2024-07-29,Standard,Delivered,South
201,4890,2024-12-20,Standard,Delivered,West
202,965,2025-04-16,Same Day,Delivered,East
203,1313,2024-08-02,Standard,Shipped,Midwest
204,4253,2024-12-18,Second Day,Delivered,South
205,1546,2024-05-27,Standard,Delivered,Midwest
206,830,2025-11-23,Standard,Cancelled,West
207,2698,2025-08-03,Standard,Delivered,West
208,4708,2025-01-07,Standard,Delivered,East
209,1046,2025-08-19,Same Day,Delivered,Midwest
210,4304,2024-10-22,Standard,Delivered,East
211,1869,2024-06-23,Standard,Delivered,South
212,3888,2024-03-01,Standard,Delivered,East
213,1714,2025-04-02,Standard,Delivered,West
214,3586,2024-08-24,Standard,Delivered,Midwest
215,2638,2025-10-27,Standard,Cancelled,East
216,829,2025-11-15,Standard,Shipped,East
217,1360,2024-12-14,Same Day,Delivered,East
218,4836,2024-12-06,Second Day,Shipped,South
219,3822,2024-01-09,Standard,Cancelled,East
220,226,2025-02-28,Standard,Delivered,West
221,2215,2025-04-04,Standard,Delivered,South
222,3614,2025-10-01,Standard,Delivered,East
223,281,2025-09-28,Standard,Delivered,East
224,3395,2025-07-06,Standard,Shipped,West
225,3660,2025-12-14,Standard,Delivered,Midwest
226,455,2025-10-13,Second Day,Shipped,West
227,398,2024-04-29,Standard,Delivered,Midwest
228,1989,2024-02-06,Same Day,Delivered,West
229,2088,2024-10-05,Standard,Delivered,Midwest
230,2407,2024-02-08,Standard,Delivered,West
231,4329,2024-08-04,Second Day,Delivered,East
232,875,2025-01-28,Standard,Shipped,East
233,3546,2025-12-16,Same Day,Delivered,Midwest
234,4784,2025-04-14,Standard,Delivered,Midwest
235,2397,2024-10-11,Standard,Returned,East
236,1475,2024-09-14,Standard,Delivered,Midwest
237,1984,2025-03-30,Standard,Delivered,East
238,2181,2024-11-02,Standard,Cancelled,West
239,4752,2024-06-07,Same Day,Delivered,Midwest
240,1999,2025-05-04,Standard,Delivered,West
241,1686,2025-04-08,Standard,Delivered,West
242,4408,2025-04-10,Second Day,Delivered,South
243,3280,2024-02-28,Standard,Delivered,Midwest
244,2074,2024-05-09,Standard,Delivered,West
245,4844,2025-10-29,Second Day,Delivered,East
246,3649,2025-05-03,Standard,Delivered,West
247,3835,2024-02-26,Standard,Delivered,East
248,2098,2025-09-24,Second Day,Delivered,East
249,1774,2025-05-17,Standard,Delivered,West
250,4631,2024-12-15,Second Day,Delivered,West
251,1072,2025-06-24,Standard,Delivered,East
252,3493,2025-02-16,Standard,Delivered,East
253,4916,2024-10-19,Standard,Delivered,Midwest
254,841,2025-03-18,Second Day,Delivered,Midwest
255,1144,2024-10-11,Second Day,Delivered,East
256,3857,2024-06-26,Standard,Delivered,West
257,3499,2025-09-19,Standard,Delivered,Midwest
258,378,2024-01-22,Standard,Delivered,South
259,4748,2024-01-19,Standard,Delivered,West
260,1439,2024-10-12,Second Day,Delivered,East
261,966,2024-04-30,Same Day,Delivered,West
262,1545,2024-08-24,Second Day,Delivered,East
263,3541,2025-11-27,Standard,Delivered,South
264,1303,2025-06-26,Standard,Delivered,West
265,4505,2025-10-07,Second Day,Delivered,West
266,3675,2025-05-01,Standard,Delivered,Midwest
267,3286,2024-06-11,Second Day,Delivered,East
268,1194,2024-10-11,Second Day,Delivered,West
269,4411,2025-01-27,Same Day,Delivered,Midwest
270,1355,2025-09-03,Standard,Delivered,East
271,66,2025-04-16,Standard,Delivered,East
272,2036,2025-04-12,Second Day,Delivered,South
273,1717,2025-01-13,Second Day,Delivered,West
274,2476,2025-01-13,Standard,Delivered,East
275,472,2025-12-19,Same Day,Delivered,South
276,850,2025-12-23,Standard,Delivered,West
277,2212,2025-12-10,Second Day,Delivered,South
278,2797,2025-07-09,Standard,Delivered,Midwest
279,254,2024-02-03,Standard,Cancelled,South
280,3330,2024-02-29,Second Day,Delivered,East
281,4051,2025-05-11,Second Day,Delivered,Midwest
282,4098,2025-02-28,Standard,Delivered,East
283,4090,2025-11-18,Standard,Shipped,East
284,4045,2025-10-06,Standard,Delivered,Midwest
285,1015,2024-08-20,Standard,Delivered,South
286,2065,2025-09-24,Standard,Delivered,East
287,954,2024-10-28,Second Day,Delivered,West
288,3761,2024-03-26,Standard,Delivered,West
289,3746,2024-12-22,Standard,Cancelled,West
290,3877,2025-07-20,Second Day,Delivered,West
291,4338,2025-10-02,Standard,Delivered,East
292,2453,2025-08-23,Standard,Shipped,East
293,1238,2024-04-23,Standard,Delivered,Midwest
294,1608,2025-03-08,Same Day,Delivered,East
295,4721,2024-04-14,Standard,Delivered,East
296,3812,2025-10-05,Standard,Delivered,South
297,3318,2024-05-12,Second Day,Delivered,East
298,3045,2024-12-11,Standard,Shipped,East
299,3569,2025-12-23,Standard,Delivered,West
300,1580,2025-01-30,Standard,Delivered,East
301,1183,2024-03-03,Standard,Delivered,East
302,3794,2024-07-28,Standard,Delivered,South
303,1640,2025-10-13,Standard,Delivered,South
304,508,2024-08-18,Standard,Delivered,Midwest
305,3853,2025-01-16,Standard,Shipped,East
306,194,2024-06-12,Standard,Delivered,East
307,392,2024-11-24,Standard,Delivered,East
308,2317,2024-07-03,Standard,Delivered,Midwest
309,3641,2024-06-16,Second Day,Delivered,East
310,2831,2024-01-14,Standard,Delivered,East
311,2116,2025-10-09,Second Day,Delivered,West
312,1744,2024-08-09,Second Day,Delivered,East
313,4602,2025-08-08,Same Day,Delivered,West
314,4648,2024-06-03,Standard,Delivered,Midwest
315,1009,2024-07-27,Standard,Delivered,Midwest
316,570,2025-08-04,Standard,Delivered,West
317,1907,2025-10-30,Standard,Returned,West
318,1965,2025-11-20,Second Day,Delivered,East
319,4245,2025-06-21,Second Day,Shipped,East
320,1190,2024-12-06,Second Day,Delivered,South
321,4148,2025-09-12,Standard,Delivered,South
322,3978,2024-07-17,Standard,Shipped,West
323,243,2024-04-05,Standard,Delivered,Midwest
324,3392,2024-07-11,Standard,Delivered,East
325,4126,2024-01-24,Standard,Delivered,Midwest
326,339,2025-07-24,Standard,Cancelled,West
327,4348,2025-04-11,Standard,Delivered,West
328,1110,2025-01-31,Standard,Shipped,East
329,3460,2025-12-21,Standard,Delivered,West
330,2488,2024-08-15,Standard,Shipped,West
331,2740,2025-12-23,Standard,Delivered,East
332,979,2025-05-04,Standard,Shipped,West
333,2065,2024-09-09,Same Day,Delivered,East
334,320,2024-12-26,Standard,Delivered,West
335,3609,2025-06-17,Standard,Delivered,South
336,3679,2024-10-28,Same Day,Delivered,Midwest
337,4999,2024-07-01,Standard,Delivered,Midwest
338,358,2025-03-19,Standard,Cancelled,Midwest
339,1866,2025-06-13,Second Day,Cancelled,Midwest
340,4395,2025-11-13,Same Day,Delivered,South
341,3363,2024-05-29,Second Day,Delivered,East
342,685,2024-01-07,Standard,Delivered,East
343,2202,2025-02-13,Standard,Delivered,West
344,1625,2024-06-10,Standard,Delivered,West
345,3666,2024-03-01,Standard,Delivered,Midwest
346,184,2025-02-20,Same Day,Delivered,Midwest
347,2541,2025-08-12,Same Day,Delivered,East
348,670,2025-02-25,Standard,Cancelled,East
349,4596,2025-05-20,Standard,Delivered,East
350,2648,2024-06-16,Standard,Delivered,East
351,3272,2024-10-07,Standard,Delivered,East
352,1192,2025-08-30,Second Day,Returned,West
353,4087,2025-12-10,Standard,Cancelled,East
354,1061,2024-09-25,Second Day,Delivered,West
355,4178,2024-08-04,Second Day,Delivered,East
356,611,2024-01-23,Standard,Delivered,East
357,4161,2024-06-18,Standard,Delivered,South
358,1038,2025-03-09,Same Day,Delivered,Midwest
359,1475,2024-10-18,Standard,Delivered,Midwest
360,726,2025-01-05,Standard,Delivered,West
361,1774,2024-03-13,Same Day,Delivered,West
362,3685,2025-07-06,Standard,Delivered,Midwest
363,1715,2025-12-08,Same Day,Delivered,West
364,2528,2025-10-14,Standard,Cancelled,South
365,3734,2024-02-23,Standard,Delivered,South
366,164,2025-10-15,Standard,Delivered,West
367,1980,2025-03-27,Second Day,Returned,East
368,1564,2025-09-27,Second Day,Delivered,East
369,2271,2024-10-01,Second Day,Delivered,West
370,4954,2024-01-19,Standard,Delivered,East
371,4048,2024-04-11,Standard,Delivered,Midwest
372,4704,2024-08-21,Standard,Delivered,West
373,1406,2025-05-25,Same Day,Delivered,West
374,1026,2024-12-12,Standard,Delivered,West
375,1768,2025-05-22,Standard,Delivered,East
376,1375,2025-12-26,Second Day,Shipped,West
377,4224,2025-11-23,Standard,Shipped,Midwest
378,216,2025-03-31,Standard,Delivered,South
379,4625,2025-01-19,Standard,Delivered,East
380,52,2025-08-11,Second Day,Delivered,West
381,2244,2024-10-11,Second Day,Cancelled,West
382,3344,2025-02-16,Second Day,Delivered,West
383,1519,2025-02-05,Standard,Delivered,Midwest
384,23,2025-03-19,Second Day,Delivered,South
385,961,2024-11-14,Standard,Delivered,East
386,3424,2024-06-01,Standard,Cancelled,West
387,414,2025-03-18,Standard,Delivered,East
388,2206,2024-05-01,Standard,Shipped,East
389,3173,2025-11-19,Standard,Delivered,East
390,4189,2024-08-12,Standard,Delivered,East
391,4614,2025-07-06,Second Day,Delivered,Midwest
392,948,2024-07-18,Standard,Cancelled,South
393,542,2024-10-10,Standard,Returned,Midwest
394,3442,2024-11-22,Standard,Delivered,West
395,4754,2024-01-24,Second Day,Delivered,West
396,2692,2024-04-10,Same Day,Delivered,East
397,4382,2025-09-02,Standard,Delivered,Midwest
398,3185,2024-04-08,Standard,Delivered,South
399,4251,2024-12-18,Standard,Delivered,East
400,3389,2024-04-04,Standard,Delivered,West
401,1188,2025-03-29,Standard,Delivered,East
402,2163,2024-07-22,Second Day,Shipped,Midwest
403,4471,2025-01-06,Second Day,Delivered,West
404,1768,2025-09-16,Standard,Delivered,East
405,4661,2024-12-23,Standard,Delivered,Midwest
406,4248,2024-06-23,Standard,Delivered,Midwest
407,3702,2024-01-24,Standard,Delivered,West
408,3794,2024-08-10,Standard,Delivered,South
409,3681,2024-01-26,Standard,Delivered,West
410,3453,2024-08-04,Same Day,Delivered,East
411,3872,2024-01-09,Second Day,Delivered,East
412,617,2024-06-29,Standard,Delivered,East
413,2705,2025-04-08,Standard,Shipped,West
414,3187,2024-10-03,Standard,Delivered,Midwest
415,1718,2025-06-14,Standard,Delivered,West
416,1659,2025-09-11,Second Day,Delivered,East
417,1636,2025-06-15,Standard,Shipped,East
418,3972,2025-06-03,Second Day,Shipped,East
419,3141,2025-09-20,Standard,Cancelled,West
420,4772,2025-11-22,Standard,Shipped,West
421,752,2024-01-04,Standard,Delivered,East
422,4575,2025-11-09,Standard,Delivered,West
423,4132,2024-02-26,Standard,Delivered,East
424,1872,2024-04-17,Standard,Delivered,East
425,1780,2024-02-28,Standard,Delivered,West
426,139,2024-11-03,Standard,Delivered,West
427,954,2025-01-25,Second Day,Delivered,West
428,844,2024-01-10,Standard,Cancelled,West
429,569,2025-04-15,Second Day,Delivered,West
430,3180,2025-09-22,Standard,Delivered,South
431,4681,2025-07-18,Standard,Delivered,South
432,3451,2024-05-15,Second Day,Delivered,East
433,3976,2024-09-07,Standard,Delivered,East
434,4805,2024-06-02,Standard,Delivered,South
435,3438,2025-02-28,Standard,Delivered,West
436,2965,2025-05-07,Standard,Cancelled,Midwest
437,160,2025-12-30,Second Day,Delivered,East
438,2541,2025-03-16,Standard,Delivered,East
439,2852,2024-04-17,Same Day,Delivered,East
440,4739,2024-06-14,Standard,Delivered,Midwest
441,29,2024-09-20,Standard,Delivered,East
442,2781,2024-08-20,Standard,Cancelled,Midwest
443,3843,2024-04-27,Standard,Delivered,South
444,3855,2024-07-19,Standard,Shipped,South
445,4862,2024-09-17,Second Day,Delivered,South
446,4266,2024-06-12,Standard,Delivered,East
447,1236,2024-07-21,Second Day,Delivered,Midwest
448,1372,2024-06-26,Standard,Delivered,East
449,259,2024-04-08,Standard,Cancelled,South
450,2900,2025-03-20,Standard,Delivered,East
451,637,2025-10-26,Standard,Delivered,East
452,1398,2025-06-10,Standard,Delivered,West
453,878,2024-09-13,Standard,Cancelled,South
454,1001,2025-07-30,Standard,Delivered,East
455,350,2024-12-10,Second Day,Delivered,West
456,1860,2025-07-29,Second Day,Delivered,East
457,2535,2024-09-10,Standard,Cancelled,East
458,3899,2024-08-11,Standard,Delivered,East
459,646,2025-08-07,Same Day,Delivered,East
460,3673,2025-02-10,Standard,Delivered,East
461,4484,2024-03-28,Standard,Delivered,South
462,1948,2025-03-14,Standard,Delivered,South
463,371,2024-03-09,Standard,Delivered,East
464,3421,2024-11-08,Standard,Delivered,East
465,1443,2025-02-18,Standard,Delivered,Midwest
466,3883,2025-06-03,Standard,Delivered,West
467,1064,2024-10-15,Standard,Delivered,East
468,3829,2024-07-29,Standard,Shipped,South
469,3748,2024-08-10,Second Day,Delivered,East
470,700,2024-07-13,Standard,Delivered,South
471,57,2024-11-08,Standard,Delivered,South
472,4015,2025-02-26,Standard,Delivered,South
473,785,2024-07-27,Same Day,Delivered,West
474,4749,2024-07-08,Standard,Delivered,West
475,3987,2024-03-05,Same Day,Delivered,Midwest
476,582,2024-01-04,Standard,Delivered,South
477,4425,2024-12-02,Standard,Delivered,East
478,1506,2025-04-03,Standard,Returned,East
479,4863,2024-11-29,Second Day,Delivered,Midwest
480,2462,2025-06-07,Same Day,Shipped,Midwest
481,3186,2025-05-25,Standard,Delivered,East
482,635,2024-06-03,Standard,Delivered,East
483,3488,2025-12-31,Second Day,Delivered,West
484,3408,2024-07-11,Second Day,Delivered,East
485,3383,2025-08-30,Standard,Delivered,Midwest
486,1572,2025-03-26,Standard,Delivered,West
487,2311,2024-05-13,Same Day,Shipped,South
488,510,2024-06-08,Standard,Delivered,East
489,4478,2024-03-14,Standard,Delivered,East
490,1326,2025-08-26,Standard,Delivered,West
491,833,2025-09-21,Standard,Delivered,Midwest
492,4059,2025-11-16,Standard,Delivered,East
493,3923,2024-08-03,Standard,Delivered,West
494,3536,2025-01-23,Second Day,Delivered,West
495,3101,2025-02-19,Standard,Delivered,West
496,4833,2024-04-03,Standard,Delivered,South
497,3700,2024-12-02,Second Day,Delivered,East
498,297,2024-10-22,Standard,Delivered,East
499,1976,2025-04-05,Standard,Delivered,South
500,181,2025-09-07,Standard,Delivered,West
501,895,2024-02-23,Standard,Shipped,West
502,1653,2024-05-11,Standard,Delivered,West
503,2276,2024-11-15,Second Day,Delivered,East
504,992,2024-08-29,Standard,Delivered,West
505,4246,2025-03-10,Second Day,Delivered,East
506,434,2025-11-28,Standard,Delivered,East
507,2234,2024-12-17,Second Day,Shipped,East
508,741,2025-09-20,Standard,Delivered,East
509,4579,2024-02-01,Standard,Delivered,West
510,3049,2025-07-01,Second Day,Delivered,Midwest
511,2641,2025-02-07,Same Day,Delivered,West
512,4322,2025-02-25,Standard,Delivered,East
513,2268,2025-08-03,Same Day,Delivered,West
514,1396,2024-02-19,Second Day,Shipped,Midwest
515,2045,2024-09-17,Second Day,Delivered,East
516,154,2024-12-26,Standard,Delivered,East
517,3787,2025-03-09,Standard,Cancelled,South
518,3679,2025-08-07,Second Day,Delivered,Midwest
519,3226,2025-01-22,Standard,Delivered,Midwest
520,3020,2024-05-23,Second Day,Delivered,Midwest
521,4203,2025-09-24,Standard,Delivered,East
522,4188,2024-03-27,Standard,Delivered,West
523,598,2024-09-07,Standard,Delivered,Midwest
524,2600,2024-01-19,Second Day,Delivered,East
525,2583,2024-10-02,Standard,Delivered,Midwest
526,4849,2025-04-10,Standard,Delivered,South
527,4788,2024-06-17,Standard,Delivered,East
528,3869,2025-07-27,Standard,Shipped,East
529,1714,2024-07-09,Standard,Delivered,West
530,3013,2025-12-24,Standard,Delivered,East
531,1880,2025-08-31,Standard,Shipped,South
532,2877,2024-03-22,Standard,Shipped,South
533,3951,2024-07-03,Standard,Delivered,East
534,584,2025-07-28,Standard,Delivered,West
535,1714,2024-06-09,Same Day,Delivered,West
536,4750,2025-07-19,Second Day,Delivered,East
537,1040,2024-02-16,Standard,Delivered,South
538,2203,2024-01-14,Standard,Delivered,South
539,3214,2025-03-01,Standard,Delivered,South
540,2840,2024-07-06,Standard,Shipped,East
541,4455,2024-09-10,Standard,Delivered,Midwest
542,656,2025-10-12,Standard,Delivered,Midwest
543,4033,2024-10-29,Second Day,Delivered,East
544,309,2025-07-17,Standard,Cancelled,East
545,396,2025-02-06,Second Day,Shipped,West
546,4356,2025-09-25,Standard,Delivered,East
547,381,2024-04-17,Standard,Delivered,East
548,4784,2025-10-02,Second Day,Delivered,Midwest
549,1586,2024-09-27,Standard,Delivered,East
550,193,2024-06-06,Standard,Delivered,South
551,1658,2024-02-23,Standard,Delivered,South
552,1436,2025-02-01,Standard,Shipped,Midwest
553,3517,2025-12-02,Same Day,Returned,West
554,493,2025-02-11,Standard,Shipped,West
555,3700,2024-04-27,Standard,Delivered,East
556,4972,2024-11-14,Standard,Delivered,South
557,1320,2025-11-15,Standard,Delivered,South
558,2892,2025-12-30,Standard,Delivered,East
559,4986,2025-12-23,Standard,Delivered,Midwest
560,1030,2025-11-30,Standard,Delivered,West
561,714,2024-11-24,Standard,Delivered,Midwest
562,4717,2025-07-01,Standard,Cancelled,East
563,1639,2024-10-07,Standard,Delivered,West
564,4279,2025-05-25,Standard,Delivered,West
565,2378,2024-09-04,Second Day,Cancelled,Midwest
566,1647,2024-05-23,Standard,Delivered,West
567,4591,2025-04-21,Same Day,Delivered,West
568,2067,2024-09-24,Standard,Delivered,West
569,3286,2025-06-12,Standard,Delivered,East
570,3971,2025-03-01,Same Day,Delivered,West
571,1610,2024-12-24,Second Day,Delivered,South
572,2035,2024-11-10,Standard,Delivered,South
573,4741,2025-11-07,Standard,Delivered,East
574,652,2025-10-06,Standard,Delivered,West
575,4112,2024-12-23,Standard,Delivered,Midwest
576,236,2025-07-04,Standard,Delivered,Midwest
577,4629,2024-09-07,Standard,Delivered,East
578,3392,2024-02-14,Standard,Delivered,East
579,4307,2025-07-18,Standard,Delivered,East
580,1267,2024-02-22,Standard,Delivered,East
581,513,2025-03-10,Standard,Delivered,West
582,3208,2024-06-20,Same Day,Delivered,West
583,4599,2024-03-01,Standard,Delivered,Midwest
584,1099,2025-09-26,Standard,Delivered,Midwest
585,4989,2024-03-31,Second Day,Delivered,South
586,4131,2024-12-22,Standard,Delivered,East
587,707,2024-10-05,Same Day,Delivered,East
588,346,2024-07-10,Standard,Delivered,West
589,582,2025-07-29,Standard,Delivered,South
